Health Service Area,HSA_Code,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,CI*Rank([rank note]),Lower CI (CI*Rank),Upper CI (CI*Rank),Average Annual Count,Recent Trend,Recent 5-Year Trend ([trend note]) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Madison, KY - Rockcastle, KY(7)",62,579.5,554.3,605.5,N/A , N/A , N/A,431,stable,-0.7,-1.4,0
"Page, IA - Fremont, IA(7)",644,578.2,531.7,628.1,N/A , N/A , N/A,122,stable,0,-4,0.6
"Yazoo, MS(6)",533,578.1,520.6,640.2,N/A , N/A , N/A,81,stable,-0.6,-1.4,0.3
"McCurtain, OK(6)",983,577.9,529.5,629.8,N/A , N/A , N/A,111,stable,-0.6,-2.2,1
"Okmulgee, OK - Okfuskee, OK(6)",529,577.9,539.6,618.3,N/A , N/A , N/A,177,stable,-0.3,-1.3,0.7
"Cherokee, GA - Douglas, GA(7)",826,575.8,562.9,588.9,N/A , N/A , N/A,1731,stable,-0.2,-0.6,0.3
"McCracken, KY - Graves, KY(7)",855,575.8,556.2,595.9,N/A , N/A , N/A,702,stable,-0.4,-1,0.2
"Jefferson (Louisville), KY - Bullitt, KY(7)",272,575.5,566.7,584.4,N/A , N/A , N/A,3538,falling,-0.8,-1,-0.5
"Richland, IL - Clay, IL(7)",351,575.3,537.2,615.7,N/A , N/A , N/A,179,stable,-0.7,-1.6,0.2
"Titus, TX - Morris, TX(7)",465,575.3,541.6,610.6,N/A , N/A , N/A,232,stable,0.3,-0.5,1.1
"Jackson, OH - Gallia, OH(6)",283,574.8,545.6,605.3,N/A , N/A , N/A,313,stable,0.5,-0.3,1.3
"Montgomery, IA - Adams, IA(7)",647,574.4,506.7,649.4,N/A , N/A , N/A,58,stable,0.1,-0.5,0.7
"Dougherty (Albany), GA - Lee, GA(7)",144,574,552.6,596,N/A , N/A , N/A,587,falling,-0.7,-1.2,-0.3
"Warren, GA - Glascock, GA(7)",152,573.7,495.1,662.9,N/A , N/A , N/A,41,stable,0.6,-0.3,1.7
"Jefferson (Pine Bluff), AR - Drew, AR(6)",473,573.6,549.5,598.6,N/A , N/A , N/A,454,falling,-2.7,-5.2,-0.7
"Caswell, NC(6)",132,573.5,521,630.3,N/A , N/A , N/A,97,stable,1.9,-0.6,6.2
"Tangipahoa, LA - St. Helena, LA(7)",423,573.2,548.6,598.7,N/A , N/A , N/A,445,falling,-0.7,-1.1,-0.2
"Daviess (Owensboro), KY - Ohio, KY(7)",913,573.2,550.2,596.9,N/A , N/A , N/A,498,stable,-0.3,-0.9,0.3
"Upson, GA - Lamar, GA(7)",269,573.2,538.7,609.4,N/A , N/A , N/A,224,stable,0,-0.5,0.6
"East Baton Rouge (Baton Rouge), LA - Livingston, LA(7)",419,572.6,562.1,583.2,N/A , N/A , N/A,2467,falling,-0.7,-1.1,-0.2
"Pulaski, KY - Wayne, KY(7)",37,572.5,546.1,599.9,N/A , N/A , N/A,380,falling,-0.7,-1.1,-0.2
"St. Mary, LA(7)",528,572.3,533.8,613,N/A , N/A , N/A,177,stable,-0.6,-1.2,0.1
"Fulton, NY - Montgomery (Amsterdam), NY(7)",76,572.2,546.2,599.2,N/A , N/A , N/A,393,stable,-0.4,-0.9,0.1
"Ontario (Geneva), NY - Wayne, NY(7)",21,571.9,555.8,588.5,N/A , N/A , N/A,1034,stable,-0.4,-0.8,0
"Carroll, GA - Haralson, GA(7)",896,571.8,547.1,597.3,N/A , N/A , N/A,435,stable,0,-0.5,0.6
"Cabell (Huntington), WV - Wayne, WV(6)",867,571.5,550.2,593.5,N/A , N/A , N/A,575,stable,-0.3,-0.9,0.3
